812,1,3
812,1,3
812,1,9
812,2,10
812,2,8
812,2,7
812,3,7
812,3,8
812,3,7
812,4,7
812,4,8
812,4,6
812,5,3
812,5,6
812,5,5
812,6,9
812,6,9
812,6,3
812,7,10
812,7,7
812,7,5
812,8,9
812,8,3
812,8,6
812,9,8
812,9,9
812,9,10
812,10,10
812,10,8
812,10,8
394,1,3
394,1,9
394,1,9
394,2,6
394,2,6
394,2,3
394,3,6
394,3,9
394,3,6
394,4,7
394,4,8
394,4,10
394,5,4
394,5,10
394,5,8
394,6,8
394,6,7
394,6,3
394,7,4
394,7,7
394,7,8
394,8,5
394,8,5
394,8,7
394,9,6
394,9,3
394,9,8
394,10,4
394,10,10
394,10,8
670,1,8
670,1,5
670,1,6
670,2,6
670,2,9
670,2,7
670,3,5
670,3,10
670,3,7
670,4,5
670,4,5
670,4,8
670,5,4
670,5,8
670,5,9
670,6,8
670,6,5
670,6,9
670,7,6
670,7,3
670,7,3
670,8,6
670,8,5
670,8,5
670,9,4
670,9,3
670,9,7
670,10,6
670,10,3
670,10,5
147,1,3
147,1,6
147,1,8
147,2,7
147,2,5
147,2,4
147,3,5
147,3,8
147,3,9
147,4,8
147,4,5
147,4,6
147,5,4
147,5,9
147,5,9
147,6,7
147,6,9
147,6,7
147,7,8
147,7,6
147,7,4
147,8,8
147,8,10
147,8,3
147,9,5
147,9,4
147,9,7
147,10,10
147,10,7
147,10,7
934,1,4
934,1,6
934,1,4
934,2,4
934,2,7
934,2,10
934,3,4
934,3,3
934,3,10
934,4,8
934,4,6
934,4,6
934,5,7
934,5,7
934,5,5
934,6,4
934,6,8
934,6,7
934,7,8
934,7,7
934,7,5
934,8,6
934,8,10
934,8,5
934,9,6
934,9,10
934,9,8
934,10,3
934,10,3
934,10,9
884,1,4
884,1,3
884,1,4
884,2,8
884,2,8
884,2,7
884,3,8
884,3,10
884,3,9
884,4,5
884,4,3
884,4,3
884,5,4
884,5,8
884,5,3
884,6,10
884,6,4
884,6,5
884,7,3
884,7,8
884,7,9
884,8,10
884,8,4
884,8,6
884,9,9
884,9,3
884,9,4
884,10,7
884,10,10
884,10,7
711,1,8
711,1,8
711,1,7
711,2,3
711,2,7
711,2,5
711,3,7
711,3,10
711,3,9
711,4,5
711,4,7
711,4,7
711,5,7
711,5,10
711,5,6
711,6,5
711,6,10
711,6,7
711,7,3
711,7,9
711,7,3
711,8,10
711,8,10
711,8,6
711,9,7
711,9,4
